## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SRR11647648.rg.bam] OUTPUT=SRR11647648dedp.bam METRICS_FILE=48metrics.txt REMOVE_DUPLICATES=false    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat May 02 04:32:59 EEST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR11647648	29311240	319827022	39354299	0	5928952	17296227	0	0.060573	2849385075

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	285218960	285218960
2.0	1.893826	15549898	15549898
3.0	2.692751	724556	724556
4.0	3.40685	50497	50497
5.0	4.045131	11070	11070
6.0	4.615643	5220	5220
7.0	5.125582	3107	3107
8.0	5.581378	1930	1930
9.0	5.98878	1299	1299
10.0	6.352927	901	901
11.0	6.678411	633	633
12.0	6.969337	423	423
13.0	7.229374	292	292
14.0	7.461802	190	190
15.0	7.669552	139	139
16.0	7.855245	83	83
17.0	8.021221	62	62
18.0	8.169576	37	37
19.0	8.302179	24	24
20.0	8.420703	20	20
21.0	8.526642	17	17
22.0	8.621334	13	13
23.0	8.705972	7	7
24.0	8.781624	5	5
25.0	8.849243	6	6
26.0	8.909683	1	1
27.0	8.963706	3	3
28.0	9.011993	1	1
29.0	9.055153	2	2
30.0	9.09373	0	0
31.0	9.128212	1	1
32.0	9.159033	4	4
33.0	9.186581	1	1
34.0	9.211204	1	1
35.0	9.233213	3	3
36.0	9.252885	1	1
37.0	9.270469	1	1
38.0	9.286186	1	1
39.0	9.300234	0	0
40.0	9.31279	3	3
41.0	9.324013	0	0
42.0	9.334045	0	0
43.0	9.343011	1	1
44.0	9.351026	0	0
45.0	9.358189	0	0
46.0	9.364592	0	0
47.0	9.370316	2	2
48.0	9.375431	0	0
49.0	9.380003	1	1
50.0	9.38409	0	0
51.0	9.387743	0	0
52.0	9.391008	0	0
53.0	9.393927	0	0
54.0	9.396536	0	0
55.0	9.398867	0	0
56.0	9.400951	0	0
57.0	9.402814	0	0
58.0	9.404479	0	0
59.0	9.405967	0	0
60.0	9.407298	0	0
61.0	9.408486	0	0
62.0	9.409549	0	0
63.0	9.410499	0	0
64.0	9.411348	0	0
65.0	9.412107	0	0
66.0	9.412785	0	0
67.0	9.413392	0	0
68.0	9.413934	0	0
69.0	9.414418	0	0
70.0	9.414851	0	0
71.0	9.415238	0	0
72.0	9.415584	0	0
73.0	9.415893	0	0
74.0	9.416169	0	0
75.0	9.416417	0	0
76.0	9.416637	0	0
77.0	9.416835	0	0
78.0	9.417011	0	0
79.0	9.417169	0	0
80.0	9.41731	0	0
81.0	9.417436	0	0
82.0	9.417548	0	0
83.0	9.417649	0	0
84.0	9.417739	0	0
85.0	9.417819	0	0
86.0	9.417891	0	0
87.0	9.417955	0	0
88.0	9.418013	0	0
89.0	9.418064	0	0
90.0	9.41811	0	0
91.0	9.418151	0	0
92.0	9.418187	0	0
93.0	9.41822	0	0
94.0	9.41825	0	0
95.0	9.418276	0	0
96.0	9.418299	0	0
97.0	9.41832	0	0
98.0	9.418339	0	0
99.0	9.418355	0	0
100.0	9.41837	0	0
173.0	0	1	1

