## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SRR11647660.rg.bam] OUTPUT=SRR11647660dedp.bam METRICS_FILE=60metrics.txt REMOVE_DUPLICATES=false    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri May 01 14:53:03 EEST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR11647660	30832811	299416319	35954282	0	7427390	30245109	0	0.107863	1380477156

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	240755545	240755545
2.0	1.805016	25050465	25050465
3.0	2.453066	2195193	2195193
4.0	2.974757	196524	196524
5.0	3.394727	27600	27600
6.0	3.732809	8033	8033
7.0	4.00497	3524	3524
8.0	4.224064	1823	1823
9.0	4.400438	1014	1014
10.0	4.542423	587	587
11.0	4.656722	391	391
12.0	4.748735	203	203
13.0	4.822807	137	137
14.0	4.882436	107	107
15.0	4.930438	68	68
16.0	4.969081	56	56
17.0	5.000188	48	48
18.0	5.025231	35	35
19.0	5.04539	23	23
20.0	5.061619	11	11
21.0	5.074683	19	19
22.0	5.0852	12	12
23.0	5.093667	19	19
24.0	5.100482	8	8
25.0	5.105969	11	11
26.0	5.110386	10	10
27.0	5.113941	10	10
28.0	5.116804	7	7
29.0	5.119108	7	7
30.0	5.120963	9	9
31.0	5.122456	0	0
32.0	5.123658	0	0
33.0	5.124626	3	3
34.0	5.125405	3	3
35.0	5.126032	3	3
36.0	5.126537	1	1
37.0	5.126943	0	0
38.0	5.12727	1	1
39.0	5.127534	1	1
40.0	5.127746	0	0
41.0	5.127916	1	1
42.0	5.128054	0	0
43.0	5.128164	0	0
44.0	5.128254	1	1
45.0	5.128325	0	0
46.0	5.128383	0	0
47.0	5.128429	3	3
48.0	5.128467	0	0
49.0	5.128497	0	0
50.0	5.128521	0	0
51.0	5.128541	0	0
52.0	5.128556	0	0
53.0	5.128569	0	0
54.0	5.128579	0	0
55.0	5.128587	0	0
56.0	5.128594	2	2
57.0	5.128599	0	0
58.0	5.128603	0	0
59.0	5.128607	0	0
60.0	5.12861	0	0
61.0	5.128612	0	0
62.0	5.128614	0	0
63.0	5.128615	0	0
64.0	5.128616	0	0
65.0	5.128617	0	0
66.0	5.128618	0	0
67.0	5.128619	0	0
68.0	5.128619	0	0
69.0	5.12862	0	0
70.0	5.12862	0	0
71.0	5.12862	0	0
72.0	5.12862	0	0
73.0	5.12862	0	0
74.0	5.128621	0	0
75.0	5.128621	0	0
76.0	5.128621	0	0
77.0	5.128621	0	0
78.0	5.128621	0	0
79.0	5.128621	0	0
80.0	5.128621	0	0
81.0	5.128621	0	0
82.0	5.128621	0	0
83.0	5.128621	0	0
84.0	5.128621	0	0
85.0	5.128621	0	0
86.0	5.128621	0	0
87.0	5.128621	0	0
88.0	5.128621	0	0
89.0	5.128621	0	0
90.0	5.128621	0	0
91.0	5.128621	0	0
92.0	5.128621	0	0
93.0	5.128621	0	0
94.0	5.128621	0	0
95.0	5.128621	0	0
96.0	5.128621	0	0
97.0	5.128621	0	0
98.0	5.128621	0	0
99.0	5.128621	0	0
100.0	5.128621	0	0
137.0	0	1	1
167.0	0	1	1
172.0	0	1	1

